Teaching Subject/ Method,Awareness of different types of softwares [Proprietary Software],Awareness of different types of softwares [Free and Open-Source Software],Awareness of different types of softwares [Pirated Software],Awareness of different types of softwares [All of the above],Awareness  of various Free and Open-Source Software(FOSS) [Libre office],Awareness  of various Free and Open-Source Software(FOSS) [Open office],Awareness  of various Free and Open-Source Software(FOSS) [Mozilla Firefox],Awareness  of various Free and Open-Source Software(FOSS) [Chromium],Awareness  of various Free and Open-Source Software(FOSS) [GIMP],Awareness  of various Free and Open-Source Software(FOSS) [VLC media player],Awareness  of various Free and Open-Source Software(FOSS) [Ubuntu],Awareness  of various Free and Open-Source Software(FOSS) [Open Shot],Awareness  of various Free and Open-Source Software(FOSS) [Audacity],Awareness  of various Free and Open-Source Software(FOSS) [MyPaint],Awareness  of various Free and Open-Source Software(FOSS) [Tuxpaint],Awareness  of various Free and Open-Source Software(FOSS) [Geogebra],Awareness  of various Free and Open-Source Software(FOSS) [Cmap],Awareness  of various Free and Open-Source Software(FOSS) [MAHARA],Awareness  of various Free and Open-Source Software(FOSS) [Moodle],Awareness  of various Free and Open-Source Software(FOSS) [Classroom 2.0],Awareness  of various Free and Open-Source Software(FOSS) [Google Earth],Awareness  of various Free and Open-Source Software(FOSS) [RCampus],Perceived Usefulness: [FOSS helped me perform teaching tasks effectively],Perceived Usefulness: [FOSS is a good alternative to paid software],Perceived Usefulness: [FOSS improved my digital teaching skills],Perceived Ease of Use: [FOSS tools were easy to use],Perceived Ease of Use: [FOSS tools were easy to use during classroom teaching],Perceived Ease of Use: [FOSS tools were user-friendly],Application of FOSS: [I used FOSS to prepare teaching-learning materials],Application of FOSS: [I used FOSS for lesson planning and assessment],Application of FOSS: [I regularly used at least one FOSS tool during my internship],Behavioral Intention: [I intend to use FOSS in future teaching],Behavioral Intention: [I am interested in learning more about FOSS tools],Behavioral Intention: [I will recommend FOSS to other teachers],Challenges and Security [Lack of training limits my use of FOSS],Challenges and Security [Limited technical support affects my use of FOSS],Challenges and Security [I feel FOSS tools are safe and secure for teaching use]
Arts,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,2,2,1,1,1,2,1
Arts,2,3,3,2,1,3,3,1,1,3,1,1,1,3,1,1,1,1,1,2,2,1,3,3,3,5,3,3,3,3,3,3,3,3,4,Neither agree nor disagre,Neither agree nor disagre
Arts,2,3,1,2,1,2,2,3,1,3,2,2,2,2,1,2,1,1,1,3,2,1,4,4,4,2,4,4,3,2,2,4,2,4,1,4,4
Arts,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,3,3,3,Neither agree nor disagre,Neither agree nor disagre,Neither agree nor disagre
Arts,2,3,2,1,2,2,3,2,2,2,1,2,3,3,2,3,2,2,2,3,3,2,5,5,5,4,4,4,5,5,4,5,5,5,4,Neither agree nor disagre,4
Arts,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,Neither agree nor disagre,Neither agree nor disagre,Neither agree nor disagre
Arts,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,2,3,1,2,2,1,2,1,2,1,3,4,4,5,4,3,4,4,4,2,2,Neither agree nor disagre
Arts,1,2,2,2,1,3,3,2,1,3,1,1,1,1,1,1,1,1,1,3,3,1,4,4,4,3,3,3,4,4,2,3,5,3,5,5,5
Arts,2,3,2,2,1,3,1,1,2,1,2,3,3,3,1,1,1,1,1,1,1,1,2,1,2,4,3,4,4,4,5,4,4,3,Neither agree nor disagre,4,Neither agree nor disagre
Arts,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,4,4,3,4,4,2,2,2,4,4,3,4,4,4
Arts,1,3,2,3,1,1,3,3,1,3,2,1,1,3,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,5
