Timestamp,B. Ed. Year,Teaching Subject/ Method,Type of Internship School,Awareness of different types of softwares [Proprietary Software],Awareness of different types of softwares [Free and Open-Source Software],Awareness of different types of softwares [Pirated Software],Awareness of different types of softwares [All of the above],Awareness  of various Free and Open-Source Software(FOSS) [Libre office],Awareness  of various Free and Open-Source Software(FOSS) [Open office],Awareness  of various Free and Open-Source Software(FOSS) [Mozilla Firefox],Awareness  of various Free and Open-Source Software(FOSS) [Chromium],Awareness  of various Free and Open-Source Software(FOSS) [GIMP],Awareness  of various Free and Open-Source Software(FOSS) [VLC media player],Awareness  of various Free and Open-Source Software(FOSS) [Ubuntu],Awareness  of various Free and Open-Source Software(FOSS) [Open Shot],Awareness  of various Free and Open-Source Software(FOSS) [Audacity],Awareness  of various Free and Open-Source Software(FOSS) [MyPaint],Awareness  of various Free and Open-Source Software(FOSS) [Tuxpaint],Awareness  of various Free and Open-Source Software(FOSS) [Geogebra],Awareness  of various Free and Open-Source Software(FOSS) [Cmap],Awareness  of various Free and Open-Source Software(FOSS) [MAHARA],Awareness  of various Free and Open-Source Software(FOSS) [Moodle],Awareness  of various Free and Open-Source Software(FOSS) [Classroom 2.0],Awareness  of various Free and Open-Source Software(FOSS) [Google Earth],Awareness  of various Free and Open-Source Software(FOSS) [RCampus],Perceived Usefulness: [FOSS helped me perform teaching tasks effectively],Perceived Usefulness: [FOSS is a good alternative to paid software],Perceived Usefulness: [FOSS improved my digital teaching skills],Perceived Ease of Use: [FOSS tools were easy to use],Perceived Ease of Use: [FOSS tools were easy to use during classroom teaching],Perceived Ease of Use: [FOSS tools were user-friendly],Application of FOSS: [I used FOSS to prepare teaching-learning materials],Application of FOSS: [I used FOSS for lesson planning and assessment],Application of FOSS: [I regularly used at least one FOSS tool during my internship],Behavioral Intention: [I intend to use FOSS in future teaching],Behavioral Intention: [I am interested in learning more about FOSS tools],Behavioral Intention: [I will recommend FOSS to other teachers],Challenges and Security [Lack of training limits my use of FOSS],Challenges and Security [Limited technical support affects my use of FOSS],Challenges and Security [I feel FOSS tools are safe and secure for teaching use]
3/9/2026 10:26:33,,Science,,Aware,Aware,Aware,Aware,Partially Aware,Partially Aware,Partially Aware,Aware,Aware,Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Aware,Partially Aware,Partially Aware,Agree,Strongly agree,Agree,Easy,Neither difficult nor easy,Easy,Agree,Agree,Agree,Likely,Very likely,Likely,Neither agree nor disagre,Agree,Agree
3/9/2026 10:26:35,,Arts,,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Aware,Strongly agree,Strongly agree,Strongly agree,Easy,Easy,Easy,Strongly agree,Strongly agree,Strongly agree,Very likely,Very likely,Very likely,Strongly agree,Strongly agree,Strongly agree
3/9/2026 10:27:33,,Arts,,Not Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Not Aware,Agree,Agree,Strongly agree,Easy,Easy,Very easy,Neither agree nor disagree,Neither agree nor disagree,Disagree,Very likely,Very likely,Very likely,Strongly agree,Strongly agree,Strongly agree
3/9/2026 10:36:31,,Science,,Not Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Aware,Not Aware,Not Aware,Partially Aware,Aware,Not Aware,Not Aware,Aware,Not Aware,Not Aware,Aware,Aware,Not Aware,Disagree,Disagree,Neither agree nor disagree,Difficult,Neither difficult nor easy,Neither difficult nor easy,Strongly disagree,Strongly disagree,Disagree,Unlikely,Unlikely,Unlikely,Strongly disagree,Disagree,Disagree
3/9/2026 10:39:29,,Science,,Not Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Agree,Neither agree nor disagree,Neither agree nor disagree,Easy,Easy,Easy,Neither agree nor disagree,Agree,Agree,Neutral,Likely,Likely,Agree,Neither agree nor disagre,Agree
3/9/2026 15:19:22,,Science,,Aware,Aware,Aware,Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Agree,Agree,Agree,Easy,Easy,Easy,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree
3/9/2026 15:28:13,,Science,,Partially Aware,Not Aware,Partially Aware,Aware,Not Aware,Partially Aware,Not Aware,Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Aware,Partially Aware,Partially Aware,Aware,Partially Aware,Partially Aware,Partially Aware,Disagree,Disagree,Neither agree nor disagree,Difficult,Difficult,Neither difficult nor easy,Strongly disagree,Disagree,Disagree,Very unlikely,Unlikely,Neutral,Disagree,Strongly disagree,Neither agree nor disagre
3/9/2026 16:04:33,,Science,,Not Aware,Partially Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Partially Aware,Agree,Agree,Agree,Difficult,Difficult,Difficult,Agree,Agree,Agree,Unlikely,Likely,Unlikely,Disagree,Neither agree nor disagre,Disagree
3/10/2026 10:59:23,,Science,,Partially Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Partially Aware,Not Aware,Partially Aware,Not Aware,Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Agree,Strongly disagree,Disagree,Neither difficult nor easy,Difficult,Very difficult,Neither agree nor disagree,Agree,Neither agree nor disagree,Neutral,Likely,Neutral,Neither agree nor disagre,Disagree,Neither agree nor disagre
3/14/2026 14:15:33,,Arts,,Not Aware,Partially Aware,Partially Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Not Aware,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither difficult nor easy,Neither difficult nor easy,Neither difficult nor easy,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neither agree nor disagre
